,TIMESTAMP,AUTOSOLDERING.MAIN_Z-LEFT,AUTOSOLDERING.MAIN_Z-MIDDLE,AUTOSOLDERING.MAIN_Z-RIGHT,AUTOSOLDERING.PLC_COUNTER1,AUTOSOLDERING.PLC_COUNTER2,AUTOSOLDERING.PLC_COUNTER3,AUTOSOLDERING.PLC_COUNTER4,AUTOSOLDERING.PLC_COUNTER5,AUTOSOLDERING.PLC_COUNTER6,AUTOSOLDERING.SUB1_ALARM,AUTOSOLDERING.SUB1_CYCLE_TIME,AUTOSOLDERING.SUB1_HEATING_STATUS,AUTOSOLDERING.SUB1_MAX_TEMP,AUTOSOLDERING.SUB1_PV_TEMP,AUTOSOLDERING.SUB2_ALARM,AUTOSOLDERING.SUB2_CYCLE_TIME,AUTOSOLDERING.SUB2_HEATING_STATUS,AUTOSOLDERING.SUB2_MAX_TEMP,AUTOSOLDERING.SUB2_PV_TEMP,AUTOSOLDERING.SUB3_ALARM,AUTOSOLDERING.SUB3_CYCLE_TIME,AUTOSOLDERING.SUB3_HEATING_STATUS,AUTOSOLDERING.SUB3_MAX_TEMP,AUTOSOLDERING.SUB3_PV_TEMP,AUTOSOLDERING.SUB4_ALARM,AUTOSOLDERING.SUB4_CYCLE_TIME,AUTOSOLDERING.SUB4_HEATING_STATUS,AUTOSOLDERING.SUB4_MAX_TEMP,AUTOSOLDERING.SUB4_PV_TEMP,AUTOSOLDERING.SUB5_ALARM,AUTOSOLDERING.SUB5_CYCLE_TIME,AUTOSOLDERING.SUB5_HEATING_STATUS,AUTOSOLDERING.SUB5_MAX_TEMP,AUTOSOLDERING.SUB5_PV_TEMP,AUTOSOLDERING.SUB6_ALARM,AUTOSOLDERING.SUB6_CYCLE_TIME,AUTOSOLDERING.SUB6_HEATING_STATUS,AUTOSOLDERING.SUB6_MAX_TEMP,AUTOSOLDERING.SUB6_PV_TEMP
54,2023-10-23 15:00:10.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,
55,2023-10-23 15:00:10.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
56,2023-10-23 15:00:10.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,
57,2023-10-23 15:00:10.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,
58,2023-10-23 15:00:10.327,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,2023-10-23 15:00:10.376,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2023-10-23 15:00:10.383,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
61,2023-10-23 15:00:10.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
62,2023-10-23 15:00:10.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
63,2023-10-23 15:00:10.466,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2023-10-23 15:00:10.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,
65,2023-10-23 15:00:10.772,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,
66,2023-10-23 15:00:10.804,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2023-10-23 15:00:10.819,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
68,2023-10-23 15:00:12.409,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2023-10-23 15:00:13.097,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2023-10-23 15:00:14.176,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2023-10-23 15:00:17.641,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2023-10-23 15:00:17.729,-5.90682e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2023-10-23 15:00:17.884,,,-4.725456e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2023-10-23 15:00:18.570,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2023-10-23 15:00:19.170,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
76,2023-10-23 15:00:19.173,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,
77,2023-10-23 15:00:19.186,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,
78,2023-10-23 15:00:19.447,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,
79,2023-10-23 15:00:19.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,
80,2023-10-23 15:00:19.487,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2023-10-23 15:00:19.540,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2023-10-23 15:00:19.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
83,2023-10-23 15:00:19.673,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
84,2023-10-23 15:00:19.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,
85,2023-10-23 15:00:19.692,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,
86,2023-10-23 15:00:19.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,
87,2023-10-23 15:00:19.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
88,2023-10-23 15:00:19.836,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
89,2023-10-23 15:00:19.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
90,2023-10-23 15:00:19.930,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,
91,2023-10-23 15:00:19.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
92,2023-10-23 15:00:19.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,
93,2023-10-23 15:00:20.009,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
94,2023-10-23 15:00:20.017,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
95,2023-10-23 15:00:20.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,
96,2023-10-23 15:00:20.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
97,2023-10-23 15:00:20.067,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
98,2023-10-23 15:00:20.087,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
